query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
108,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,499,59,1856,495,499,377,272,50,50,10,1
109,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,850,56,1760,846,850,386,277,50,50,10,1
110,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,849,56,1760,845,849,378,255,50,50,10,1
111,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1146,61,1920,1142,1146,485,324,50,50,10,1
112,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,544,57,1792,540,544,345,241,50,50,10,1
113,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1003,61,1920,999,1003,443,315,50,50,10,1
114,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,685,55,1728,681,685,362,221,50,50,10,1
115,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.6,4,1066,56,1760,1062,1066,389,261,50,50,10,1
116,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,590,56,1760,586,590,365,236,50,50,10,1
117,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,990,55,1728,986,990,366,228,50,50,10,1
118,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,912,56,1760,908,912,377,234,50,50,10,1
119,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,584,59,1856,580,584,380,289,50,50,10,1
120,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1105,63,1984,1101,1105,468,339,50,50,10,1
121,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,981,57,1792,977,981,418,282,50,50,10,1
122,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1000,57,1792,996,1000,418,277,50,50,10,1
123,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,773,58,1824,769,773,340,230,50,50,10,1
124,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,838,55,1728,834,838,353,230,50,50,10,1
125,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,850,55,1728,846,850,338,239,50,50,10,1
